game_id,home,away
0022200250,BOS,CHI
0022200251,POR,MIL
0022200252,MIA,MIN
0022200253,GSW,NOP
0022200254,NYK,OKC
0022200255,UTA,LAC
0022200256,BKN,PHI
0022200257,SAC,MEM
0022200258,DET,DEN
0022200259,LAL,PHX
0022200260,PHI,CHA
0022200261,POR,CLE
0022200262,MIN,IND
0022200263,SAC,ATL
0022200264,DAL,BOS
0022200265,WAS,MIA
0022200266,BKN,TOR
0022200267,CHI,MIL
0022200268,DEN,OKC
0022200269,NOP,SAS
0022200270,DET,UTA
0022200271,LAC,GSW
0022200272,MIN,CHA
0022200273,PHI,ORL
0022200274,POR,NYK
0022200275,SAC,BOS
0022200276,BKN,IND
0022200277,WAS,MIA
0022200278,ATL,HOU
0022200279,NOP,MEM
0022200280,CLE,MIL
0022200281,CHI,OKC
0022200282,LAL,SAS
0022200283,DET,PHX
0022200284,UTA,GSW
0022200285,DEN,LAC
0022200286,DAL,TOR
0022200287,OKC,HOU
0022200288,LAL,SAS
0022200289,UTA,PHX
0022200290,POR,BKN
0022200291,GSW,MIN
0022200292,IND,LAC
0022200293,MIA,ATL
0022200294,WAS,BOS
0022200295,CLE,DET
0022200296,MEM,NYK
0022200297,PHI,ORL
0022200298,DAL,MIL
0022200299,ATL,PHI
0022200300,MIN,WAS
0022200301,CHA,BOS
0022200302,ORL,BKN
0022200303,CLE,TOR
0022200304,OKC,NOP
0022200305,HOU,DEN
0022200306,CHI,UTA
0022200307,PHX,SAC
0022200308,IND,LAL
0022200309,NYK,DET
0022200310,GSW,DAL
0022200311,LAC,POR
0022200312,PHI,CLE
0022200313,ATL,ORL
0022200314,MIA,BOS
0022200315,WAS,BKN
0022200316,MIL,NYK
0022200317,MEM,MIN
0022200318,TOR,NOP
0022200319,SAS,OKC
0022200320,HOU,DEN
0022200321,CHI,PHX
0022200322,LAC,UTA
0022200323,IND,SAC
0022200324,POR,LAL
0022200325,DAL,DET
0022200326,WAS,CHA
0022200327,DEN,ATL
0022200328,MIA,BOS
0022200329,TOR,BKN
0022200330,ORL,CLE
0022200331,LAL,MIL
0022200332,PHI,MEM
0022200333,NOP,SAS
0022200334,HOU,PHX
0022200335,IND,UTA
0022200336,CHI,GSW
0022200337,DAL,NYK
0022200338,SAC,LAC
0022200339,MIL,CHA
0022200340,ORL,TOR
0022200341,OKC,MIN
0022200342,HOU,GSW
0022200343,POR,UTA
0022200344,DEN,NOP
0022200345,PHX,SAS
0022200346,BOS,BKN
0022200347,MEM,DET
0022200348,CLE,NYK
0022200349,LAL,WAS
0022200350,CHI,SAC
0022200351,IND,POR
0022200352,LAC,CHA
0022200353,MIL,ORL
0022200354,OKC,ATL
0022200355,BOS,TOR
0022200356,PHI,HOU
0022200357,MIA,MEM
0022200358,PHX,DAL
0022200359,IND,GSW
0022200360,LAL,CLE
0022200361,DET,MIA
0022200362,DAL,DEN
0022200363,LAC,ORL
0022200364,CHA,BKN
0022200365,ATL,NYK
0022200366,LAL,TOR
0022200367,WAS,CHI
0022200368,OKC,MEM
0022200369,SAC,MIL
0022200370,IND,MIN
0022200371,DET,NOP
0022200372,GSW,UTA
0022200373,BOS,PHX
0022200374,LAC,MIA
0022200375,HOU,SAS
0022200376,DEN,POR
0022200377,NYK,CHA
0022200378,WAS,IND
0022200379,TOR,ORL
0022200380,ATL,BKN
0022200381,SAC,CLE
0022200382,LAL,PHI
0022200383,DET,MEM
0022200384,PHX,NOP
0022200385,MIN,UTA
0022200386,MIL,DAL
0022200387,SAS,MIA
0022200388,BKN,IND
0022200389,LAC,WAS
0022200390,OKC,CLE
0022200391,DAL,CHI
0022200392,BOS,GSW
0022200393,UTA,DEN
0022200394,MIN,POR
0022200395,PHX,NOP
0022200396,LAL,DET
0022200397,SAC,NYK
0022200398,TOR,ORL
0022200399,CHA,PHI
0022200400,CHI,ATL
0022200401,MIL,HOU
0022200402,MIA,IND
0022200403,BKN,WAS
0022200404,ATL,MEM
0022200405,OKC,DAL
0022200406,CLE,SAS
0022200407,MIN,POR
0022200408,BOS,LAC
0022200409,SAC,PHI
0022200410,GSW,MIL
0022200411,PHX,HOU
0022200412,NOP,UTA
0022200413,BOS,LAL
0022200414,DET,CHA
0022200415,GSW,IND
0022200416,ATL,ORL
0022200417,SAC,TOR
0022200418,NYK,CHI
0022200419,MIA,OKC
0022200420,POR,SAS
0022200421,CLE,DAL
0022200422,WAS,DEN
0022200423,MIN,LAC
0022200424,MIA,HOU
0022200425,MIL,MEM
0022200426,NOP,UTA
0022200427,PHX,LAC
0022200428,ATL,CHA
0022200429,SAC,DET
0022200430,ORL,BOS
0022200431,IND,CLE
0022200432,GSW,PHI
0022200433,BKN,TOR
0022200434,NYK,CHI
0022200435,MIN,OKC
0022200436,POR,DAL
0022200437,DEN,LAL
0022200438,WAS,LAC
0022200439,MIA,SAS
0022200440,DAL,CLE
0022200441,POR,HOU
0022200442,UTA,MIL
0022200443,MEM,OKC
0022200444,NOP,PHX
0022200445,ORL,BOS
0022200446,NYK,IND
0022200447,BKN,DET
0022200448,GSW,TOR
0022200449,CHI,MIN
0022200450,CHA,DEN
0022200451,WAS,LAL
0022200452,UTA,CLE
0022200453,TOR,PHI
0022200454,ORL,ATL
0022200455,SAS,HOU
0022200456,DAL,MIN
0022200457,MIL,NOP
0022200458,POR,OKC
0022200459,LAL,PHX
0022200460,CHA,SAC
0022200461,UTA,DET
0022200462,CHI,MIA
0022200463,GSW,NYK
0022200464,WAS,PHX
0022200465,MEM,DEN
0022200466,MIL,CLE
0022200467,DET,PHI
0022200468,CHI,ATL
0022200469,IND,BOS
0022200470,GSW,BKN
0022200471,TOR,NYK
0022200472,ORL,HOU
0022200473,DAL,MIN
0022200474,POR,OKC
0022200475,LAL,SAC
0022200476,CHA,LAC
0022200477,SAS,NOP
0022200478,WAS,UTA
0022200479,SAS,ORL
0022200480,LAC,PHI
0022200481,DET,ATL
0022200482,MIN,BOS
0022200483,MIL,BKN
0022200484,TOR,CLE
0022200485,CHI,NYK
0022200486,IND,MIA
0022200487,DAL,HOU
0022200488,NOP,OKC
0022200489,POR,DEN
0022200490,MEM,PHX
0022200491,WAS,SAC
0022200492,CHA,LAL
0022200493,PHI,NYK
0022200494,LAL,DAL
0022200495,MIL,BOS
0022200496,MEM,GSW
0022200497,PHX,DEN
0022200498,BKN,CLE
0022200499,LAC,DET
0022200500,MIN,MIA
0022200501,HOU,CHI
0022200502,IND,NOP
0022200503,UTA,SAS
0022200504,CHA,POR
0022200505,LAL,ORL
0022200506,PHI,WAS
0022200507,HOU,BOS
0022200508,ATL,IND
0022200509,LAC,TOR
0022200510,PHX,MEM
